Epoch 1/100 | G Loss: 4.5227 | D Loss: 0.8586 | Time: 59.6s
Epoch 2/100 | G Loss: 4.0750 | D Loss: 0.6397 | Time: 111.5s
Epoch 3/100 | G Loss: 3.9889 | D Loss: 0.5874 | Time: 162.0s
Epoch 4/100 | G Loss: 3.9706 | D Loss: 0.5809 | Time: 214.2s
Epoch 5/100 | G Loss: 4.2417 | D Loss: 0.5413 | Time: 265.5s
Epoch 6/100 | G Loss: 4.2521 | D Loss: 0.5251 | Time: 316.1s
Epoch 7/100 | G Loss: 4.0707 | D Loss: 0.5372 | Time: 369.6s
Epoch 8/100 | G Loss: 4.2984 | D Loss: 0.4734 | Time: 421.8s
Epoch 9/100 | G Loss: 4.2751 | D Loss: 0.4944 | Time: 474.4s
Epoch 10/100 | G Loss: 4.4197 | D Loss: 0.4440 | Time: 527.1s
Epoch 11/100 | G Loss: 4.4571 | D Loss: 0.4511 | Time: 579.2s
Epoch 12/100 | G Loss: 4.5771 | D Loss: 0.4189 | Time: 629.8s
Epoch 13/100 | G Loss: 4.6725 | D Loss: 0.4157 | Time: 684.6s
Epoch 14/100 | G Loss: 4.8227 | D Loss: 0.3846 | Time: 739.6s
Epoch 15/100 | G Loss: 4.6053 | D Loss: 0.4051 | Time: 791.7s
Epoch 16/100 | G Loss: 4.8428 | D Loss: 0.3719 | Time: 845.2s
Epoch 17/100 | G Loss: 4.9231 | D Loss: 0.3847 | Time: 899.2s
Epoch 18/100 | G Loss: 4.8431 | D Loss: 0.3707 | Time: 951.5s
Epoch 19/100 | G Loss: 4.9126 | D Loss: 0.3618 | Time: 1004.6s
Epoch 20/100 | G Loss: 4.8294 | D Loss: 0.3632 | Time: 1057.3s
Epoch 21/100 | G Loss: 4.8781 | D Loss: 0.3572 | Time: 1107.9s
Epoch 22/100 | G Loss: 4.8251 | D Loss: 0.3606 | Time: 1166.7s
Epoch 23/100 | G Loss: 4.8726 | D Loss: 0.3584 | Time: 1226.6s
Epoch 24/100 | G Loss: 5.0485 | D Loss: 0.3336 | Time: 1284.0s
Epoch 25/100 | G Loss: 4.8652 | D Loss: 0.3612 | Time: 1340.0s
Epoch 26/100 | G Loss: 5.1072 | D Loss: 0.3169 | Time: 1395.8s
Epoch 27/100 | G Loss: 5.2093 | D Loss: 0.3203 | Time: 1453.6s
Epoch 28/100 | G Loss: 4.9913 | D Loss: 0.3453 | Time: 1508.6s
Epoch 29/100 | G Loss: 5.1276 | D Loss: 0.3150 | Time: 1565.9s
Epoch 30/100 | G Loss: 5.0838 | D Loss: 0.3300 | Time: 1619.2s
Epoch 31/100 | G Loss: 5.2018 | D Loss: 0.3055 | Time: 1674.6s
Epoch 32/100 | G Loss: 5.1741 | D Loss: 0.3195 | Time: 1731.2s
Epoch 33/100 | G Loss: 5.1101 | D Loss: 0.3132 | Time: 1788.7s
Epoch 34/100 | G Loss: 5.2040 | D Loss: 0.3213 | Time: 1844.5s
Epoch 35/100 | G Loss: 5.2519 | D Loss: 0.2977 | Time: 1902.3s
Epoch 36/100 | G Loss: 5.2236 | D Loss: 0.3030 | Time: 1960.9s
Epoch 37/100 | G Loss: 5.2459 | D Loss: 0.2963 | Time: 2021.1s
Epoch 38/100 | G Loss: 5.4321 | D Loss: 0.2939 | Time: 2079.4s
Epoch 39/100 | G Loss: 5.1735 | D Loss: 0.2950 | Time: 2138.7s
Epoch 40/100 | G Loss: 5.3757 | D Loss: 0.2943 | Time: 2196.6s
Epoch 41/100 | G Loss: 5.2453 | D Loss: 0.3010 | Time: 2251.2s
Epoch 42/100 | G Loss: 5.4344 | D Loss: 0.2771 | Time: 2305.2s
Epoch 43/100 | G Loss: 5.3396 | D Loss: 0.2920 | Time: 2357.6s
Epoch 44/100 | G Loss: 5.3010 | D Loss: 0.2930 | Time: 2411.9s
Epoch 45/100 | G Loss: 5.3551 | D Loss: 0.2862 | Time: 2462.1s
Epoch 46/100 | G Loss: 5.4049 | D Loss: 0.2863 | Time: 2519.6s
Epoch 47/100 | G Loss: 5.1000 | D Loss: 0.2977 | Time: 2576.2s
Epoch 48/100 | G Loss: 5.3661 | D Loss: 0.2797 | Time: 2627.4s
Epoch 49/100 | G Loss: 5.3783 | D Loss: 0.2887 | Time: 2685.3s
Epoch 50/100 | G Loss: 5.3274 | D Loss: 0.3002 | Time: 2742.6s
Epoch 51/100 | G Loss: 5.4198 | D Loss: 0.2723 | Time: 2805.4s
Epoch 52/100 | G Loss: 5.4742 | D Loss: 0.2806 | Time: 2859.6s
Epoch 53/100 | G Loss: 5.4369 | D Loss: 0.2717 | Time: 2913.4s
Epoch 54/100 | G Loss: 5.4516 | D Loss: 0.2853 | Time: 2971.9s
Epoch 55/100 | G Loss: 5.5089 | D Loss: 0.2655 | Time: 3030.5s
Epoch 56/100 | G Loss: 5.6409 | D Loss: 0.2722 | Time: 3086.5s
Epoch 57/100 | G Loss: 5.3644 | D Loss: 0.2828 | Time: 3143.2s
Epoch 58/100 | G Loss: 5.5271 | D Loss: 0.2633 | Time: 3199.0s
Epoch 59/100 | G Loss: 5.6570 | D Loss: 0.2657 | Time: 3253.9s
Epoch 60/100 | G Loss: 5.5229 | D Loss: 0.2757 | Time: 3310.8s
Epoch 61/100 | G Loss: 5.5967 | D Loss: 0.2711 | Time: 3370.9s
Epoch 62/100 | G Loss: 5.5042 | D Loss: 0.2719 | Time: 3426.9s
Epoch 63/100 | G Loss: 5.5789 | D Loss: 0.2636 | Time: 3480.5s
Epoch 64/100 | G Loss: 5.5536 | D Loss: 0.2633 | Time: 3535.9s
Epoch 65/100 | G Loss: 5.7221 | D Loss: 0.2603 | Time: 3594.5s
Epoch 66/100 | G Loss: 5.6323 | D Loss: 0.2700 | Time: 3646.5s
Epoch 67/100 | G Loss: 5.6820 | D Loss: 0.2628 | Time: 3703.4s
Epoch 68/100 | G Loss: 5.5876 | D Loss: 0.2582 | Time: 3759.7s
Epoch 69/100 | G Loss: 5.6664 | D Loss: 0.2649 | Time: 3816.7s
Epoch 70/100 | G Loss: 5.5899 | D Loss: 0.2566 | Time: 3870.7s
Epoch 71/100 | G Loss: 5.6129 | D Loss: 0.2601 | Time: 3929.3s
Epoch 72/100 | G Loss: 5.7115 | D Loss: 0.2518 | Time: 3984.3s
Epoch 73/100 | G Loss: 5.6697 | D Loss: 0.2581 | Time: 4044.4s
Epoch 74/100 | G Loss: 5.6792 | D Loss: 0.2515 | Time: 4101.5s
Epoch 75/100 | G Loss: 5.8188 | D Loss: 0.2511 | Time: 4159.4s
Epoch 76/100 | G Loss: 5.6825 | D Loss: 0.2635 | Time: 4215.9s
Epoch 77/100 | G Loss: 5.6702 | D Loss: 0.2581 | Time: 4270.0s
Epoch 78/100 | G Loss: 5.7340 | D Loss: 0.2608 | Time: 4322.2s
Epoch 79/100 | G Loss: 5.5304 | D Loss: 0.2648 | Time: 4375.1s
Epoch 80/100 | G Loss: 5.7485 | D Loss: 0.2520 | Time: 4427.7s
Epoch 81/100 | G Loss: 5.8061 | D Loss: 0.2518 | Time: 4480.5s
Epoch 82/100 | G Loss: 5.8907 | D Loss: 0.2443 | Time: 4533.0s
Epoch 83/100 | G Loss: 5.8151 | D Loss: 0.2519 | Time: 4588.2s
Epoch 84/100 | G Loss: 5.6721 | D Loss: 0.2646 | Time: 4640.2s
Epoch 85/100 | G Loss: 6.0164 | D Loss: 0.2369 | Time: 4690.0s
Epoch 86/100 | G Loss: 5.8306 | D Loss: 0.2508 | Time: 4745.4s
Epoch 87/100 | G Loss: 5.9058 | D Loss: 0.2463 | Time: 4799.2s
Epoch 88/100 | G Loss: 5.7612 | D Loss: 0.2518 | Time: 4856.8s
Epoch 89/100 | G Loss: 5.9508 | D Loss: 0.2491 | Time: 4915.7s
Epoch 90/100 | G Loss: 5.6246 | D Loss: 0.2621 | Time: 4975.9s
Epoch 91/100 | G Loss: 6.0647 | D Loss: 0.2347 | Time: 5035.3s
Epoch 92/100 | G Loss: 5.9383 | D Loss: 0.2426 | Time: 5088.0s
Epoch 93/100 | G Loss: 5.8782 | D Loss: 0.2563 | Time: 5146.9s
Epoch 94/100 | G Loss: 5.9799 | D Loss: 0.2392 | Time: 5206.0s
Epoch 95/100 | G Loss: 6.0520 | D Loss: 0.2437 | Time: 5263.4s
Epoch 96/100 | G Loss: 5.8211 | D Loss: 0.2545 | Time: 5317.1s
Epoch 97/100 | G Loss: 5.9779 | D Loss: 0.2360 | Time: 5374.8s
Epoch 98/100 | G Loss: 6.0519 | D Loss: 0.2415 | Time: 5427.9s
Epoch 99/100 | G Loss: 5.9510 | D Loss: 0.2415 | Time: 5484.6s
Epoch 100/100 | G Loss: 5.9426 | D Loss: 0.2484 | Time: 5543.0s
