Run args written to results/latent_diffusion_vae/run_20260531-030317/args.json
EMA enabled: True, decay: 0.9999, warmup_steps: 0
Epoch 1/20 | Loss: 0.128467 | Time: 70.9s
Epoch 2/20 | Loss: 0.008261 | Time: 139.7s
Epoch 3/20 | Loss: 0.006289 | Time: 209.4s
Epoch 4/20 | Loss: 0.004975 | Time: 279.0s
Epoch 5/20 | Loss: 0.003609 | Time: 349.2s
Epoch 6/20 | Loss: 0.002136 | Time: 420.1s
Epoch 7/20 | Loss: 0.001835 | Time: 490.7s
Epoch 8/20 | Loss: 0.001780 | Time: 561.1s
Epoch 9/20 | Loss: 0.001351 | Time: 631.9s
Epoch 10/20 | Loss: 0.001254 | Time: 701.1s
Epoch 11/20 | Loss: 0.000890 | Time: 771.1s
Epoch 12/20 | Loss: 0.000956 | Time: 841.3s
Epoch 13/20 | Loss: 0.000661 | Time: 911.4s
Epoch 14/20 | Loss: 0.000993 | Time: 981.6s
Epoch 15/20 | Loss: 0.000687 | Time: 1051.9s
Epoch 16/20 | Loss: 0.000292 | Time: 1121.4s
Epoch 17/20 | Loss: 0.000440 | Time: 1192.3s
Epoch 18/20 | Loss: 0.000564 | Time: 1262.2s
Epoch 19/20 | Loss: 0.000271 | Time: 1332.5s
Epoch 20/20 | Loss: 0.000278 | Time: 1402.9s
