Trial Name: trial_hopefully_good_20260430-195315
Experiment Settings:
Trial Name: trial_hopefully_good
Manual Seed: 12345
Batch Size: 16
Image Size: 64
Latent Vector Size: 400
Generator Feature Map Size: 128
Discriminator Feature Map Size: 64
Number of Epochs: 25
Learning Rate: 0.0001
Beta1: 0.5
Number of GPUs: 1
Verbose Every N Batches: 25
Break After N Batches: 250
Save Model Every N Epochs: 25
Save Images Every N Iters: 150

Start Time = Thu Apr 30 19:53:15 2026
e[1/25]b[1/250]	Loss_D: 1.7394	Loss_G: 22.0647	D(x): 0.8295	D(G(z)): 0.7224 / 0.0000
e[1/25]b[26/250]	Loss_D: 3.9658	Loss_G: 0.2839	D(x): 0.1032	D(G(z)): 0.1395 / 0.9425
e[1/25]b[51/250]	Loss_D: 3.1308	Loss_G: 2.8452	D(x): 0.2039	D(G(z)): 0.6064 / 0.1222
e[1/25]b[76/250]	Loss_D: 3.8827	Loss_G: 4.4453	D(x): 0.8092	D(G(z)): 0.9668 / 0.0095
e[1/25]b[101/250]	Loss_D: 4.0649	Loss_G: 8.4040	D(x): 0.9107	D(G(z)): 0.9656 / 0.0003
e[1/25]b[126/250]	Loss_D: 2.0070	Loss_G: 4.4964	D(x): 0.2302	D(G(z)): 0.0149 / 0.0118
e[1/25]b[151/250]	Loss_D: 2.4418	Loss_G: 7.0857	D(x): 0.8676	D(G(z)): 0.8510 / 0.0009
e[1/25]b[176/250]	Loss_D: 1.4347	Loss_G: 2.5307	D(x): 0.5913	D(G(z)): 0.4823 / 0.0919
e[1/25]b[201/250]	Loss_D: 3.5206	Loss_G: 0.2829	D(x): 0.0382	D(G(z)): 0.1641 / 0.8340
e[1/25]b[226/250]	Loss_D: 0.7765	Loss_G: 2.4957	D(x): 0.7894	D(G(z)): 0.3378 / 0.0883
e[2/25]b[1/250]	Loss_D: 5.8564	Loss_G: 0.3130	D(x): 0.0046	D(G(z)): 0.1533 / 0.8253
e[2/25]b[26/250]	Loss_D: 1.3892	Loss_G: 1.0208	D(x): 0.4702	D(G(z)): 0.4439 / 0.3817
e[2/25]b[51/250]	Loss_D: 1.6996	Loss_G: 1.1014	D(x): 0.5315	D(G(z)): 0.6383 / 0.3291
e[2/25]b[76/250]	Loss_D: 1.6657	Loss_G: 1.9147	D(x): 0.7017	D(G(z)): 0.7130 / 0.1335
e[2/25]b[101/250]	Loss_D: 1.0705	Loss_G: 1.4312	D(x): 0.5717	D(G(z)): 0.3592 / 0.2335
e[2/25]b[126/250]	Loss_D: 1.3404	Loss_G: 1.8675	D(x): 0.4147	D(G(z)): 0.3675 / 0.1518
e[2/25]b[151/250]	Loss_D: 0.7184	Loss_G: 2.5390	D(x): 0.8512	D(G(z)): 0.3274 / 0.0970
e[2/25]b[176/250]	Loss_D: 1.1371	Loss_G: 0.8746	D(x): 0.3706	D(G(z)): 0.1181 / 0.4334
e[2/25]b[201/250]	Loss_D: 1.3230	Loss_G: 2.2386	D(x): 0.6862	D(G(z)): 0.5746 / 0.1076
e[2/25]b[226/250]	Loss_D: 0.7797	Loss_G: 1.5240	D(x): 0.5847	D(G(z)): 0.1736 / 0.2258
e[3/25]b[1/250]	Loss_D: 3.8914	Loss_G: 0.2256	D(x): 0.0228	D(G(z)): 0.0728 / 0.9386
e[3/25]b[26/250]	Loss_D: 1.0850	Loss_G: 1.1951	D(x): 0.4674	D(G(z)): 0.2699 / 0.3010
e[3/25]b[51/250]	Loss_D: 1.3090	Loss_G: 2.1507	D(x): 0.7192	D(G(z)): 0.5834 / 0.1142
e[3/25]b[76/250]	Loss_D: 1.5284	Loss_G: 2.8696	D(x): 0.6943	D(G(z)): 0.6686 / 0.0493
e[3/25]b[101/250]	Loss_D: 3.0184	Loss_G: 7.3111	D(x): 0.9651	D(G(z)): 0.9241 / 0.0012
e[3/25]b[126/250]	Loss_D: 1.4338	Loss_G: 2.8574	D(x): 0.3083	D(G(z)): 0.2069 / 0.1329
e[3/25]b[151/250]	Loss_D: 0.5040	Loss_G: 2.9839	D(x): 0.8959	D(G(z)): 0.2066 / 0.0687
e[3/25]b[176/250]	Loss_D: 2.6820	Loss_G: 2.7097	D(x): 0.9468	D(G(z)): 0.8976 / 0.0654
e[3/25]b[201/250]	Loss_D: 1.3462	Loss_G: 1.6867	D(x): 0.7192	D(G(z)): 0.6039 / 0.1710
e[3/25]b[226/250]	Loss_D: 0.7548	Loss_G: 1.6502	D(x): 0.6159	D(G(z)): 0.1551 / 0.1804
e[4/25]b[1/250]	Loss_D: 5.4742	Loss_G: 0.2344	D(x): 0.0043	D(G(z)): 0.2168 / 0.9091
e[4/25]b[26/250]	Loss_D: 0.8963	Loss_G: 1.4925	D(x): 0.5741	D(G(z)): 0.2610 / 0.2140
e[4/25]b[51/250]	Loss_D: 1.5720	Loss_G: 1.2235	D(x): 0.4313	D(G(z)): 0.5208 / 0.2828
e[4/25]b[76/250]	Loss_D: 1.8463	Loss_G: 2.4186	D(x): 0.5519	D(G(z)): 0.7063 / 0.0777
